id,species,family,subfamily,identification,wingspan,caterpillarhost,adultfood,habitat,flight,range
359,Urbanus procne,Hesperiidae,Pyrginae,Tailed; wings are brown. Forewing has a narrow white band or it may be lacking. Males have a costal fold enclosing scent scales on the leading edge of the forewing. Inner band on the underside of the hindwing is separated from the brown spot near the costa.,1 7/16 - 1 7/8 inches (3.7 - 4.8 cm).,Grasses including Bermuda grass (Cynodon dactylon) and Johnsongrass (Sorghum halepense).,Not reported.,Grassy openings in tropical and subtropical forests.,Three broods throughout the year in South Texas.,"Argentina north through Central America and Mexico to South Texas. A rare stray to southern New Mexico, southern Arizona, and southern California."
360,Urbanus simplicius,Hesperiidae,Pyrginae,Long tails; brown wings. Upperside forewing marks are indistinct or lacking. Males have a costal fold enclosing scent scales on the leading edge of the forewing. Inner band of hindwing underside is connected to the brown spot near the costa.,1 1/2 - 1 15/16 inches (3.8 - 5 cm).,Legume vines including beans (Phaseolus).,Flower nectar.,Seasonal lowland tropical forests and associated edges and openings.,October-July in Mexico and Central America; April in South Texas.,"Argentina north through Central America to Mexico. A rare stray to the lower Rio Grande Valley, Texas."
361,Urbanus tanna,Hesperiidae,Pyrginae,Tails are long; body and wings are brown. Forewing of both sexes has a thin transparent median band; male also has 5 transparent spots at the costal margin. Male has no costal fold.,1 5/16 - 1 1/2 inches (3.3 - 3.8 cm).,Not reported.,Probably flower nectar.,Subtropical.,June-December in Mexico; June in South Texas.,"Ecuador and French Guiana north through Central America to Mexico. A rare stray to the lower Rio Grande Valley, Texas."
362,Vanessa atalanta,Nymphalidae,Nymphalinae,"Upperside is black with white spots near the apex; forewing with red median band, hindwing with red marginal band. The winter form is smaller and duller, summer form larger and brighter with an interrupted forewing band.",1 3/4 - 3 inches (4.5 - 7.6 cm).,"Plants of the nettle family (Urticaceae) including stinging nettle (Urtica dioica), tall wild nettle (U. gracilis), wood nettle (Laportea canadensis), false nettle (Boehmeria cylindrica), pellitory (Parietoria pennsylvanica), mamaki (Pipturus albidus), and possibly hops (Humulus).","Red Admirals prefer sap flows on trees, fermenting fruit, and bird droppings; visiting flowers only when these are not available. Then they will nectar at common milkweed, red clover, aster, and alfalfa, among others.","Moist woods, yards, parks, marshes, seeps, moist fields. During migrations, the Red Admiral is found in almost any habitat from tundra to subtropics.","Two broods from March-October in the north, winters from October-March in South Texas.","Guatemala north through Mexico and the United States to northern Canada; Hawaii, some Caribbean Islands, New Zealand, Europe, Northern Africa, Asia. Cannot survive coldest winters; most of North America must be recolonized each spring by southern migrants."
363,Vanessa cardui,Nymphalidae,Nymphalinae,"Upperside is orange-brown with darker wing bases; forewing with black apex patch and white bar on leading edge; hindwing submarginal row of 5 small black spots sometimes has blue scales. Underside has a black, brown, and gray pattern with 4 small submarginal eyespots.",2 - 2 7/8 inches (5.1 - 7.3 cm).,"More than 100 host plants have been noted; favorites include thistles (Asteraceae), hollyhock and mallow (Malvaceae), and various legumes (Fabaceae).","The Painted Lady prefers nectar from composites 3-6 feet high, especially thistles; also aster, cosmos, blazing star, ironweed, and joe-pye weed. Flowers from other families that are visited include red clover, buttonbush, privet, and milkweeds.","Almost everywhere, especially in open or disturbed areas including gardens, old fields, dunes.","One to three flights in the East from May-October, three to four flights in South Texas from October-April.","On all continents except Australia and Antarctica. From the deserts of northern Mexico, the Painted Lady migrates and temporarily colonizes the United States and Canada south of the Arctic. Occasionally, population explosions in Mexico will cause massive northward migrations. Comments: The Painted Lady is also known as the Thistle Butterfly because of the caterpillars' food preference and also as the Cosmopolitan because it is the most widely distributed butterfly in the world."
364,Vanessa virginiensis,Nymphalidae,Nymphalinae,"Upperside with uneven brown, yellow, and orange pattern. Forewing with a black apical patch, a small white spot in the orange field below the patch, and a white bar at the leading edge of the forewing. Underside of hindwing with two large eyespots. Winter form is smaller and paler, summer form larger with brighter coloring.",1 3/4 - 2 5/8 inches (4.5 - 6.7 cm).,"Plants in the sunflower family everlasting (Gnaphalium obtusifolium), pearly everlasting (Anaphalis margaritacea), plantain-leaved pussy toes (Antennaria plantaginifolia), wormwood (Artemisia), ironweed (Vernonia), and burdock (Arctium).","Flower nectar almost exclusively, including dogbane, aster, goldenrod, marigold, selfheal, common milkweed, and vetch.","Open places with low vegetation including dunes, meadows, parks, vacant lots, forest edges.","Three to four broods from May-November, all year in the Deep South and South Texas. It is not known if adults can survive very cold winters; the East may have to be recolonized each year by southern migrants.","Resident in the southern United States, Mexico, and Central America south to Colombia. Migrates to and temporarily colonizes the northern United States, southern Canada, the West Indies, and Europe. Rare stray to Newfoundland and Labrador."
365,Variable checkerspot,Nymphalidae,Nymphalinae,"Extremely variable. Forewing narrow. Upperside is black to dark orange-brown with yellow, red, and sometimes white spots. Underside with yellow and orange-red bands.",1 1/4 - 2 1/4 inches (3.2 - 5.7 cm).,"Besseya, penstemon, and Indian paintbrush (Scrophulariaceae); snowberry and honeysuckle (Caprifoliaceae); and plants from several other families including Boraginaceae and Rosaceae.",Flower nectar.,"Sagebrush flats, chaparral, desert hills, high prairie, open forest, alpine tundra.","One flight; April-June in California and Oregon, June-July in the north and higher elevations. Several flights from April-October in western Arizona, southern Nevada, and the Mojave Desert.","Alaska south along the Pacific Coast through California and Arizona to Baja California and Mexico; east to Montana, the Dakotas, Wyoming, Colorado, New Mexico."
366,Wallengrenia egeremet,Hesperiidae,Hesperiinae,"Upperside is dark brown. Male forewing has a cream spot at the end of the cell, and a divided stigma (the ""broken dash""); female forewing has a few elongated cream spots. Underside is dark brown or purple-brown; hindwing has a pale band of spots.",1 - 1 1/2 inches (2.5 - 3.9 cm).,Panic grasses including deertongue grass (Panicum clandestinum) and P. dichotomum.,"Nectar from white, pink, or purple flowers is favored including dogbane, red clover, New Jersey tea, and sweet pepperbush. Many other flowers are visited.",Open places near woods or scrub.,One brood from June-August; two broods from May-October in the Deep South and east Texas.,"Southern Maine and southern Ontario west across the Great Lakes states to southeastern North Dakota; south to central Florida, the Gulf Coast, and southeast Texas."
367,Wallengrenia otho,Hesperiidae,Hesperiinae,"Upperside of male is brown with a few orange or red-oranges patches and a two-part black stigma (the ""broken dash""). Female upperside is dark brown with pale orange spots. Underside of hindwing in both sexes is orange or red-orange and has a band of pale spots.",1 - 1 3/8 inches (2.4 - 3.5 cm).,Paspalum and St. Augustine grass (Stenotaphrum secundatum).,"Nectar from flowers including pickerelweed, selfheal, and sweet pepperbush.",Openings near wooded rivers or swamps.,Two broods (sometimes a partial third) from April-October; all year in peninsular Florida and South Texas.,"Eastern Texas and the southeastern United States south through the West Indies and Central America to Argentina. Strays north to central Missouri, northern Kentucky, and Delaware."
368,Wandering skipper,Hesperiidae,Hesperiinae,Upperside is olive-brown; forewing with a row of small clear spots; hindwing without markings. Underside of hindwing is brown with a short curved row of 3-5 pale spots.,1 - 1 1/4 inches (2.5 - 3.2 cm).,Seashore saltgrass (Distichlis spicata).,Flower nectar.,Salt marshes.,June-September in California.,"Coastal southern California, coastal Baja California, and mainland western Mexico."
369,West Coast lady,Nymphalidae,Nymphalinae,Upperside is orange-brown with an orange bar at the leading edge of the forewing; hindwing with 3 or 4 blue submarginal spots. Underside with complex pattern; eyespots are obscured by other markings.,1 1/2 - 2 1/4 inches (3/8 - 5.7 cm).,"Many plants in the mallow family (Malvaceae) including tree mallow (Lavatera), globe mallow (Sphaeralcea), bush mallow (Malvastrum), mallow (Malva), alkali mallow (Sida), checkerbloom (Sidalcea), and hollyhock (Althea).",Flower nectar.,"Open places including weedy areas, gardens, roadsides, fields, foothills, chaparral, disturbed areas.","Many flights throughout the year in lowland California; two flights, summer and fall, in the Rocky Mountains; one flight in higher mountains.","Western North America from southern British Columbia south to Baja California Norte; south and east to Montana, Colorado, New Mexico, and Mexico. Strays to central Kansas, eastern North Dakota, and southern Ontario."
370,Western pine elfin,Lycaenidae,Theclinae,Tailless. Wings reddish-brown; undersides of fore- and hindwing have very jagged dark submarginal bands.,1 - 1 3/8 inches (2.5 - 3.5 cm).,"Young needles of hard pines including lodgepole pine (Pinus contorta), limber pine (P. flexilis), and ponderosa pine (P. ponderosa); possibly black spruce.",Flower nectar.,Pine forests.,One flight from May-June.,"British Columbia east to Maine; south to southern California, Arizona, and New Mexico."
371,Western pygmy blue,Lycaenidae,Polyommatinae,Tiny. Upperside copper brown with dull blue at the bases of both wings. Underside of hindwing is copper brown with white at the base; fringe mostly white; 3 small black spots near base; row of black spots at outer margin.,1/2 - 3/4 inch (1.2 - 2 cm).,"Pigweed (Chenopodium album), saltbush species (Atriplex), and others in the goosefoot family (Chenopodiaceae).",Flower nectar.,"Alkaline areas such as deserts, salt marshes, and wasteland.","July-September in the north, all year in South Texas.","Common. Central California east to southern Nevada, central Arizona, central New Mexico, and west Texas. South through southern California, Baja California, and Mexico to Venezuela. Migrates to Arkansas, Nebraska, and Oregon."
372,Zabulon skipper,Hesperiidae,Hesperiinae,Male black borders and no stigma. Underside of hindwing is mostly yellow with a dark brown wingbase and outer margin. Female: Upperside is purple-brown with pale yellow spots; underside of hindwing is brown and purple-gray with a white-edged costal margin.,1 3/8 - 1 5/8 inches (3.5 - 4.2 cm).,"Grasses including lovegrass (Eragrostis), purpletop (Tridens), bluegrass (Poa), wheatgrass (Agropyron), orchardgrass (Dactylis), wildrye (Elymus), and bentgrass (Agrostis).","Nectar from a variety of flowers including the exotics Japanese honeysuckle, red clover, everlasting pea, and selfheal; and the natives blackberry, purple vetch, common milkweed, buttonbush, joe-pye weed, and thistles.",Brushy openings near moist forests and streams.,Two broods from May-September in the north; several broods all year in the tropical highlands.,"Massachusetts west through southern Michigan to central Kansas; south to central Florida, southern Louisiana, and northeast Texas. Strays to New Mexico, South Dakota, and southern Quebec. A separate population ranges from central Mexico south to Panama."
